Dialogue,Label,,,
"Soalan saya juga tentang jalan raya di Sabah...Jadi, macam mana keadaan ini boleh berlaku? Ia berbahaya kepada pengguna dan juga kepada persekitaran. Saya minta pihak kementerian untuk tengok jalan-jalan tersebut termasuklah jalan-jalan lain supaya ada lampu pada waktu-waktu malam.",Question,,,
"minta Menteri Kewangan menyatakan perancangan untuk menambah hasil pendapatan negara untuk keluar dari bebanan hutang negara yang tinggi.

Saya ingin bertanya Yang Berhormat Timbalan Menteri, setelah kerajaan enggan melaksanakan semula cukai barangan dan perkhidmatan GST, mengapakah kerajaan enggan juga melaksanakan cukai penggunaan bagi menambah hasil negara daripada membentangkan Bajet 2023 yang lalu?

Apakah kerajaan yakin langkah-langkah yang diperkenalkan boleh menambah hasil kerajaan sedangkan masalah ketirisan dan sabotaj hasil pendapatan masih berterusan berlaku?",Question,,,
"Saya ingin bertanya kepada Yang Berhormat Timbalan Menteri, adakah kerajaan bercadang untuk melaksanakan cukai makmur bagi syarikat-syarikat yang memperoleh keuntungan yang tinggi? Kalau ada apakah jangkaan pendapatan dari cukai makmur berkenaan?",Question,,,
minta Menteri Pendidikan menyatakan peruntukan Program Rancangan Khas (RMT) dan mekanisme pemantauan makanan RMT untuk memastikan murid sekolah mendapat makanan yang berkhasiat.,Question,,,
"Walaupun Yang Berhormat Menteri apabila jawab dalam Dewan yang mulia ini, beliau menyatakan bahawa kos siling akan tetap sama, tiada pengurangan. Akan tetapi, saya ingin tahu sama ada, ada peningkatan kos untuk menyiapkan lima buah LCS.

Akan tetapi, dengan kekangan bajet yang kita ada, saya haraplah kementerian beri satu pencerahan yang jelas supaya semua Ahli Yang Berhormat faham berapa wang yang perlu kita tanggung lagi untuk menyiapkan projek penting ini.

Jadi, saya minta Yang Berhormat Timbalan Menteri, kalau nanti boleh apabila gulung, boleh memberi satu pencerahan secara jelas apakah status terkini berkenaan detailed design LCS kita?",Question,,,
"Isu ketiga adalah tentang barang yang telah diumumkan secara obsolete. Bagaimanakah kerajaan akan uruskan semua barang yang sudah obsolete ini? 

Isu keempat, berkenaan LCS juga, kerana saya tidak tahu sama ada kelewatan delivery LCS ini ada impak pada Navy Transformation Plan kita...Jadi apa rancangan hala tuju untuk Navy Transformation plan ini ataupun ada apa-apa perubahan. 

Jadi saya minta Yang Berhormat Timbalan Menteri nanti apabila menggulung kalau boleh menjelaskan apa perancangan negara kita untuk meningkatkan anggota Tentera Laut berbanding dengan Tentera Darat.",Question,,,
"Kedua, apakah kementerian mempunyai SOP atau mekanisme pemantauan dan jadual penyelenggaraan yang berkala? Ini penting bagi memastikan semua RKAT dapat diselenggarakan dengan baik mengikut jadual dan standard.",Question,,,
"Berapakah jumlah veteran ATM yang berdaftar dengan Jabatan Hal Ehwal Veteran pada hari ini dan berapakah jumlah peruntukan secara bulanan yang terlibat bagi membayar pencen-pencen anggota yang terlibat.

Mohon juga kerajaan memberikan sedikit penerangan secara terperinci berkenaan status dan juga perancangan yang akan dilakukan berkaitan dengan tiga lagi tuntutan oleh veteran ini iaitu tuntutan yang berkaitan dengan tempoh perkhidmatan, pengampunan kepada pegawai atau anggota yang dijatuhkan hukuman dan pencen hilang upaya.",Question,,,
"Tuan Pengerusi, saya terus kepada Butiran 030400 – Pengoperasian di ESSZONE...Pertama, mohon diberikan perincian adakah ia melibatkan penambahan anggota tentera darat ataupun laut? Kedua, berapakah penambahan aset-aset tentera di ESSZONE bagi tahun ini?

Butiran 020200 – Pertahanan Darat, Butiran 020300 – Pertahanan Maritim dan Butiran 020400 – Pertahanan Udara. Terdapat pengurangan di bawah emolumen bagi butiran maritim dan udara namun darat berlaku peningkatan. Saya mohon perkara ini dijelaskan.",Question,,,
"Seterusnya, saya mohon penjelasan berkaitan untuk bentuk kerjasama dengan NGO veteran dalam menjadikan pertubuhan tersebut wadah menjaga kebajikan para veteran ini.",Question,,,
"Saya rujuk kepada berita pada 20 Februari di mana Yang Berhormat Menteri Pertahanan telah mengatakan bahawa ada enam syor dalam Jawatankuasa Kira-kira Wang Negara (PAC) dalam projek LCS...Jadi saya ingin meminta penjelasan daripada Yang Berhormat Menteri, apakah dua syor yang belum dilaksanakan ini? Apakah sebab ia belum boleh dilaksanakan lagi?

Berdasarkan EEZ iaitu berdasarkan konsep zon ekonomi eksklusif dan prinsip lanjutan pelantar benua, Malaysia telah menuntut 12 buah pulau dari Kepulauan Spratly ini. Jadi berdasarkan ini, saya hendak tanya kepada Kementerian Pertahanan adakah tentera maritim atau tentera laut kita ada aktiviti-aktiviti di 12 buah pulau ini? Apakah kapal-kapal yang kita perlukan mungkin dalam masa 10 tahun akan datang?",Question,,,
"Apakah kementerian mempunyai perancangan untuk menambah lagi pusat hidrografi di kawasan lain terutama di Sabah dan Sarawak?

Isu pakaian seragam ini juga bukanlah perkara baharu...Oleh itu, saya mohon penjelasan daripada Yang Berhormat Menteri atau Timbalan Menteri tentang apakah Butiran Head To Toe ini merangkumi kesemua jenis uniform termasuk pemakaian istiadat atau hanya uniform tertentu sahaja.

Seterusnya Butiran 030900 – Penganjuran LIMA...Oleh itu, kalau boleh hendak mohon perincian perbelanjaan daripada pihak kementerian disebabkan kos yang tinggi ini.",Question,,,
"Selain itu, saya juga ingin bertanya kepada Kementerian Pertahanan, senarai pemain industri pertahanan domestik dari Malaysia yang akan menyertai acara ini. 

Saya mohon maklumat jumlah yang diperuntukkan untuk laksana latihan atau kursus persediaan bersara pegawai kontrak ini dan pencapaian kalangan pencen ini dalam bidang-bidang yang mereka ceburi selepas khidmat seperti perniagaan dan kerjaya. 

Berapakah jumlah kalangan mereka yang sudah pencen, tamat kontrak tergolong dalam kategori B40 selepas mereka dibimbing tetapi gagal juga dan ada juga saya percaya yang tergolong dalam miskin?",Question,,,
"Soalan saya, berapa banyak vendor-vendor tempatan ini telah memenuhi standard yang telah ditetapkan? Berapa banyak pula vendor tempatan dilibatkan dalam perolehan bagi tujuan ketenteraan?

Justeru, adakah kerajaan bercadang untuk memberi peruntukan yang lebih besar khususnya dalam penyelidikan seperti cryptography dalam mendepani ancaman siber agar Malaysia tidak lagi bergantung kepada vendor-vendor luar.",Question,,,
"Berapakah kadar pergantungan keselamatan siber negara kita kepada vendor luar ataupun consultant luar negara? 

Apakah garis panduan atau garis masa (timeline) untuk kerajaan mengguna pakai kepakaran tempatan sepenuhnya dalam bidang keselamatan siber? 

Saya ingin mendapatkan penjelasan berhubung dengan isu berkaitan keselamatan siber kerana ianya perlu diberi perhatian serius bagi keselamatan maklumat negara.",Question,,,
"Perkara yang sama juga Tuan Pengerusi, saya ingin bertanya tentang keterlibatan antara institusi pengajian tinggi seperti Institusi Pertahanan Negara Malaysia dan Institut Penyelidikan Sains dan Teknologi Pertahanan. 

Saya fikir, saya ingin mendapatkan penjelasan tentang berapa peratus keusangan sistem kita yang berlaku sebab bajet yang diperuntukkan hampir sama RM25 juta pada tahun lepas dan RM25 juta pada tahun ini.",Question,,,
"Saya ingin terus kepada muka surat 432 Butiran 010200 – Pengurusan Jabatan Hal Ehwal Veteran di mana telah diperuntukkan jumlah RM118,445,100. Daripada peruntukan ini saya ingin bertanya berapakah yang diperuntukkan untuk hal ehwal veteran di Sabah memandangkan ada aduan-aduan mengenai isu perumahan dan tanggungan kepada veteran dan keluarganya termasuk yang besar daripada Border Scouts iaitu sebahagian daripada tentera semasa Indonesian Confrontation.

Saya juga ingin merujuk kepada Butiran 08400 – Perumahan Angkatan Tentera Malaysia berjumlah RM722.5 juta. Berapakah daripada peruntukan ini diperuntukkan untuk perumahan angkatan tentera dan veteran di Sabah?",Question,,,
"Seterusnya, saya terus ke Butiran 010000 – Pengurusan. Saya mohon peruntukan tahunan kepada PERHEBAT disemak semula dan dinaikkan lebih tinggi.",Question,,,
"Seterusnya, kepada Butiran 030500 – Projek Hidrografi berjumlah RM15 juta. Saya ingin penjelasan daripada Kementerian Pertahanan mengenai perancangan masa hadapan untuk TLDM khususnya pada Pusat Hidrografi Nasional bagi aset atau kapal berkeupayaan untuk membuat kajian dan pembentangan laut dalam di Malaysia.

Adakah pihak kementerian merancang untuk menggantikan Kapal KD Mutiara yang telah dilucutkan tauliah pada tahun 2018 atau adakah lebih sesuai Pusat Hidrografi Nasional dilengkapkan dengan kapal auxiliary iaitu separuh ketenteraan berkeupayaan dengan peralatan hidrografi laut dalam bagi kerja-kerja pemetaan laut dalam di dalam Zon Maritim Malaysia sebagai mana konsep yang dilaksanakan oleh Tentera Laut Australia.",Question,,,
"Seterusnya, mengenai Butiran 020400 – Pertahanan Udara yang berjumlah RM1.75 bilion. Saya mohon penjelasan daripada pihak Kementerian Pertahanan mengenai garis waktu untuk kementerian memuktamadkan perolehan maritime patrol aircraft dengan izin, untuk Tentera Udara Diraja Malaysia seperti yang telah diumumkan. 

Adakah jumlah RM1.75 bilion ini merangkumi maksud perolehan pesawat MPA untuk TUDM dan adakah kementerian akan memeterai perjanjian perolehan ini pada tahun ini?",Question,,,
Saya mohon penjelasan apakah kerajaan sedia mempertimbangkan gesaan dan keperluan untuk meningkatkan bajet keselamatan dan pertahanan negara kepada 1.5 peratus daripada KDNK memandangkan ketiga-tiga aset agensi keselamatan dan pertahanan mengalami masalah keusangan kronik dalam mendepani isu pencerobohan sempadan negara.,Question,,,
"Saya merujuk kepada Butiran 010100 – ‘Kor Agama Tentera (KAGAT)’ di mana KAGAT telah lama berkhidmat sebagai kor teras dalam memastikan pembangunan rohani tentera tidak diabai dalam perkhidmatan ATM. Soalan saya sejauh manakah keberkesanan pengisian KAGAT sehingga kini dalam bentuk keperibadian sebagai sang perajurit Muslim yang bertakwa.

Selain itu, adakah kementerian merancang untuk menambah peruntukan biasiswa pendidikan kepada pegawai dan anggota ATM bagi menambah baik kualiti sumber manusia pertahanan negara?

Apakah perancangan kementerian untuk mewujudkan lebih banyak kerjasama latihan ketenteraan dengan negara lain terutama negara-negara OIC?",Question,,,
"Tuan Pengerusi, butiran seterusnya, Butiran 020400 – Pertahanan Udara. Apakah kementerian bercadang untuk melengkapkan bilangan jet pejuang F/A-18D Hornet yang berjumlah lapan buah pada waktu ini kepada 16 buah untuk melengkapkan satu skuadron jet pejuang negara?

Apakah strategi yang diambil oleh TUDM bagi mengekang insiden pencerobohan seperti yang berlaku sebelum ini oleh jet pejuang dari negara China?

Apakah kementerian mempunyai perancangan dalam mendapatkan aset ini nanti?",Question,,,
"Butiran 020300 – Pertahanan Maritim. Soalan saya apakah kesiapsiagaan TLDM pada waktu ini sudah mencukupi bagi menangani ancaman dari negara luar seperti contoh isu Kapal Tentera Laut Negara China yang sentiasa menceroboh perairan negara kita?

Selain itu, adakah kementerian merancang untuk menambah bilangan kapal selam yang hanya ada dua buah sahaja pada waktu ini bagi menjaga kedaulatan lautan kita yang sangat luas ini apabila ekonomi negara kita sudah kembali pulih sepenuhnya?

Tambahan pula, sejauh mana persediaan kementerian bagi memastikan kawalan di sempadan negara diperketat sebagai persediaan kepada perpindahan ibu kota Indonesia ke Kalimantan.",Question,,,
Adakah ia memberikan gambaran bahawa kelompangan terhadap sistem pertahanan negara semakin meruncing dan mengancam lebih ramai rakyat di negara ini? Apakah perancangan kementerian dalam menangani isu ini? Sejauh manakah peruntukan yang diberikan dalam Belanjawan 2023 memberi fokus dan penekanan terhadap penyelidikan dan pembangunan pertahanan siber?,Question,,,
Adakah ini bermakna bahawa selepas keputusan diambil oleh Jemaah Menteri untuk buat suntikan wang lebih atau sebagainya dan buat pembayaran kepada design authority iaitu Naval Group dan semua detail design ini akan diluluskan?,Question,,,
"Isu LCS, kalau boleh Yang Berhormat Timbalan Menteri cuba jelaskan balik. Kita diberitahu RM9 bilion itu untuk enam buah kapal tetapi bila dikurangkan menjadi lima, adakah RM9 bilion itu untuk lima buah kapal yang menyebabkan harga setiap satunya bertambah?",Question,,,
"Saya hendak minta tolong Yang Berhormat Menteri bagi penjelasan tentang perkara yang saya bangkitkan berkaitan dengan soal-soal yang berkaitan dengan kebajikan anggota veteran ini, Yang Berhormat Menteri.",Question,,,
"Keduanya, Yang Berhormat Timbalan Menteri ialah perkara yang berkaitan dengan kebajikan anggota veteran. Kementerian Pertahanan kita ada LTAT...Jadi kan itu kita timbulkan untuk mendapatkan penjelasan daripada pihak Yang Berhormat Timbalan Menteri. Bagaimanakah keadaan ini supaya ia tidak berlanjutan?",Question,,,
"Saya hendak mulakan dengan 020400 – Penguatkuasaan Maritim. Kehilangan kapal kargo pada 1 Januari 2023, apakah langkah yang telah diambil oleh pihak kementerian untuk mengesan kapal Dai Cat 06? Apakah pihak kementerian memantau semua pergerakan kapal yang keluar masuk perairan melalui AIS satellite?

Setiap kali kapal masuk ke perairan Malaysia, adakah kapal tersebut akan menghubungi kementerian melalui MF/HF radio? Berapa stesen vessel tracking station (VTS) yang dimiliki oleh kementerian di seluruh perairan Malaysia?",Question,,,
"Apakah pihak kementerian memantau, mendapatkan kepakaran dari Amerika, CIA dan sebagainya untuk mengesan mana kapal tersebut dan termasuk tiga rakyat Malaysia yang masih hilang sejak 1 Januari 2023? 

Apakah kapal itu boleh dikesan melalui survaillence satellite? Adakah keluarga kapal tersebut telah disiasat? Sejak jurutera elektronik mempunyai kepakaran yang mendalam, kenapa pihak kementerian tidak menggunakan kepakaran jurutera elektronik dari swasta untuk mengambil tindakan menjejaki kapal tersebut?",Question,,,
Saya hendak tahu apakah output dalam perjumpaan dengan menteri-menteri di beberapa negara dan berapa negara lain yang beliau akan melawat sebelum satu keputusan yang muktamad yang akan dibuat.,Question,,,
"Dalam hal ini saya hendak beritahu dan hendak tahu apakah tiga sektor yang telah dibekukan untuk mengambil pekerja asing sejak tahun 2009 akan dikaji balik memandangkan pada minggu dahulu, Menteri Sumber Manusia telah mengatakan bahawa beliau akan berjumpa dengan Menteri Dalam Negeri untuk berbincang dan untuk macam mana unfreeze ketiga-tiga sektor ini.",Question,,,
"Saya hendak tahu, bilakah balai polis baharu yang patut dibina di Ipoh akan jadi?

Akhir sekali adalah di mana IC menjadi hal yang besar di negara ini...Adakah kerajaan rela untuk memberikan pengampunan iaitu amnesty kepada semua pemohon yang ada masalah yang tertentu?",Question,,,
"Saya hendak menyentuh berkenaan dengan bilangan anggota polis yang tidak mencukupi. Jika mengikut piawai daripada INTERPOL, nisbah sepatutnya seorang polis dengan penduduk ialah 1:250. Berapakah jumlah polis pada hari ini dan apakah unjuran KDN di dalam memastikan anggota polis ini mencukupi?",Question,,,
"Butiran 12000 – Balai-balai dan Pondok Polis (PDRM) diperuntukkan RM46 juta tahun ini berbanding tahun lepas RM17 juta, satu pertambahan yang baik. Cuma apakah butiran ini dan apakah butiran perbelanjaan tersebut?",Question,,,
"Kes-kes bagaimana orang yang terlibat sedang dibicarakan, mereka mohon pasport mereka ditolak permohonan untuk mendapatkan pasport tetapi hari ini diberikan pasport walaupun kes sedang dibicarakan di mahkamah. Jadi, saya mahu tahu setakat mana adakah ini merupakan satu precedent yang akan terpakai kepada kes-kes selepas daripada ini.",Question,,,
"Tuan Pengerusi, berikutnya saya ingin menyentuh berhubung dengan Butiran 91000 – Agensi Penguatkuasaan Maritim Malaysia (APMM). Diperuntukkan RM718 juta tahun lepas RM124 juta. Saya mahu bertanya tentang projek pembinaan tiga kapal peronda pesisir pantai OPV yang masih belum diterima sehingga ke hari ini dan khabarnya hanya diterima satu sahaja sedangkan sepatutnya sudah diterima secara lengkap tiga tahun lepas.

Jadi, saya mahu tanya setakat manakah unjuran ataupun perancangan pihak KDN bagi memastikan bahawa kapal ini dapat disiapkan untuk kepentingan perjalanan tugas Agensi Penguatkuasaan Maritim Malaysia.",Question,,,
"Tapak tersebut kini merupakan Kuarters Polis Jalan Aman. Oleh sebab tidak disebut secara explicit, dengan izin, kami andai dan mohon pengesahan agar pembinaan IPD Wangsa Maju ini dimasukkan dalam Rolling Plan Ketiga RMKe-12.",Question,,,
Seterusnya merujuk kepada Butiran 020100 – Kepolisan...Kami mohon mendapatkan penjelasan daripada segi garis masa (timeline) proses tersebut bagi memastikan bahawa proses ini berjalan seiring dan sejajar dengan cadangan projek pembinaan IPD Wangsa Maju yang baharu.,Question,,,
"Berikut merujuk kepada Butiran P.62, 15000 – Unit Udara (PDRM)...Wangsa Maju mohon kementerian menyatakan di mana kedudukan Pasukan Gerakan Udara kini berada?

Apakah kemampuan serta keupayaan unit ini? Apakah aset serta status-status aset-aset tersebut yang masih dalam perkhidmatan dan sudah didecommission ataupun diberhentikan kerja? Apakah kandungan terperinci kedua-dua Butiran P.62, Butiran 15000 dan Butiran 23000 itu?",Question,,,
"Antara fungsi APMM adalah untuk melaksanakan tugas mencari dan menyelamat maritim di zon maritim Malaysia dan di lautan lepas. Bagi memastikan fungsi-fungsi ini terlaksana dengan berkesan, kebolehupayan APMM perlu ditingkatkan...Apakah perincian langkah-langkah APMM untuk meningkatkan kebolehupayaan bagi jumlah butiran tersebut?",Question,,,
"Saya ingin bertanya tentang jumlah kos makan dan minum dan kos-kos lain yang terlibat bagi setiap tahanan di sesebuah depot tahanan imigresen secara hari-hari? Adakah ia Menu Rahmah?

Saya ingin mengetahui, adakah kos makan minum seorang tahanan setiap hari yang ditanggung oleh kerajaan pada kali ini juga turut meningkat? Berapa banyakkah pusat tahanan imigresen yang terdapat di negara ini? Berapa ramai orang tahanan mengikut negara asal mereka yang berada di pusat tahanan tersebut? Adakah inisiatif dan perancangan daripada pihak kementerian bagi mengurangkan kos tanggungan kerajaan atau bebanan kerajaan dalam menguruskan situasi ini?",Question,,,
